About,Informazioni
"The ""Inspector"" action is finished. Please wait...","Azione ""Ispezione"" terminata. Attendi..."
"The ""Processing"" action is started. Please wait...","Azione ""Elaborazione"" iniziata. Attendi..."
"The ""Processing"" action is finished. Please wait...","Azione ""Elaborazione"" terminata. Attendi..."
Help,Aiuto
Configuration,Configurazione
Please select account(s) to remove,Seleziona gli account da rimuovere
%s record(s) were successfully deleted.,Record %s eliminati correttamente.
%s record(s) are used in M2E Listing(s) or General Template(s).,I record %s sono utilizzati nelle inserzioni M2E o nei modelli generali.
%s record(s) are used in General Template(s).,I record %s sono utilizzati nei modelli generali.
Account must not be in use to be deleted.,"Per essere eliminato, l'account non deve essere in uso."
%s record(s) are used in M2E Listing(s).,I record %s sono utilizzati nelle inserzioni M2E.
Sales,Vendite
Development,Sviluppo
Config,Config
The license key has been successfully updated.,Il codice di licenza è stato aggiornato correttamente.
The license status has been successfully refreshed.,Lo stato della licenza è stato aggiornato correttamente.
Manage Listings,Gestisci inserzioni
You must create at least one selling format template first.,Innanzitutto è necessario creare almeno un modello di formato di vendita.
You must create at least one description template first.,Innanzitutto è necessario creare almeno un modello di descrizione.
You must create at least one general template first.,Innanzitutto è necessario creare almeno un modello generale.
You must create at least one synchronization template first.,Innanzitutto è necessario creare almeno un modello di sincronizzazione.
Listing does not exist.,L'inserzione non esiste.
Please select item(s) to clear,Seleziona gli oggetti da cancellare
The listing(s) log was successfully cleaned.,Il registro delle inserzioni è stato pulito correttamente.
The 3rd party listings are locked by another process. ,Le inserzioni di terze parti sono bloccate da un altro processo. 
Please try again later.,Riprova più tardi.
The 3rd party listing(s) log has been successfully cleaned.,Il registro delle inserzioni di terze parti è stato pulito correttamente.
The clearing settings has been successfully saved.,Le impostazioni di cancellazione sono state salvate correttamente.
Log for %s has been successfully cleared.,Il registro per %s è stato cancellato correttamente.
All log for %s has been successfully cleared.,Tutti i registri per %s sono stati cancellati correttamente.
All logs has been successfully cleared.,Tutti i registri sono stati cancellati correttamente.
Activity Logs,Registri attività
3rd Party Listing does not exist.,L'inserzione di terze parti non è disponibile.
-- Please select --,-- Seleziona --
Order ID is not defined.,ID ordine non definito.
Order with such ID does not exist.,Non è disponibile alcun ordine con questo ID.
Order was successfully deleted.,L'ordine è stato eliminato correttamente.
At least one channel should be enabled.,È necessario abilitare almeno un canale.
The global settings have been successfully saved.,Le impostazioni globali sono state salvate correttamente.
All help blocks were restored.,Sono stati ripristinati tutti i blocchi di aiuto.
You should fill in all required fields.,È necessario compilare tutti i campi obbligatori.
Your message has been successfully sent.,Il messaggio è stato inviato correttamente.
Component can'be empty,Il componente non pu• essere vuoto
The synchronization task log has been successfully cleaned.,Il registro delle attività di sincronizzazione è stato pulito correttamente.
Data has been sent on Amazon. It is being processed now. You can continue working with M2E Pro.,I dati sono stati inviati ad Amazon. Attualmente sono in fase di elaborazione. Puoi continuare a utilizzare M2E Pro.
eBay 3rd Party Listings are being downloaded now. ,È attualmente in corso il download delle inserzioni di terze parti di eBay. 
They will be available soon in eBay / Amazon > Manage Listing > 3rd Party Listings. ,Saranno presto disponibili in eBay/Amazon > Gestione inserzioni > Inserzioni di terze parti. 
You can continue working with M2E Pro.,Puoi continuare a utilizzare M2E Pro.
Please select item(s) to remove,Seleziona gli oggetti da rimuovere
%s record(s) are used in Listing(s).,I record %s sono utilizzati nelle inserzioni.
Template must not be in use to be deleted.,"Per poter essere eliminato, un modello non deve essere in uso."
%s record(s) were successfully deleted,Record %s eliminati correttamente.
Properties,Proprietà
Recommended Value,Valore raccomandato
Current Value,Valore corrente
Magento Version,Versione Magento
PHP Version,Versione PHP
Memory Limit,Limite di memoria
Mb,MB
Max Execution Time,Tempo di esecuzione massimo
sec,sec
JSON support,Supporto JSON
CURL support,Supporto CURL
GMP support,Supporto GMP
Table,Tabella
Records,Dati
Magento Info,Info Magento
Edition,Edizione
Version,Versione
Add Secret Key to URLs,Aggiungi chiave privata a URL
Module Info,Info modulo
Name,Nome
Version (revision),Versione (revisione)
Application Key,Chiave applicazione
License Info,Info licenza
License Key,Codice di licenza
Valid Domain,Dominio valido
Valid IP,IP valido
Valid Directory,Directory valida
Access,Accesso
None License,Nessuna licenza
Trial License,Licenza di prova
Live License,Licenza dinamica
Suspended,Sospeso
Closed,Scadute
Expired Date,Data di scadenza superata
Location Info,Info percorso
Host,Host
Domain,Dominio
IP,IP
System Info,Info sistema
PHP Info,Info PHP
Server API,API server
Unlimited,Illimitato
Cron Info,Info cron
We recommend to set up your cron job to be run every 5 minutes.,È consigliabile impostare l'esecuzione del processo cron ogni 5 minuti.
Last Run,Ultima esecuzione
not working,non funzionante
PHP command,Comando PHP
GET command,Comando GET
System Requirements,Requisiti di sistema
Database Tables,Tabelle database
Database Summary,Riepilogo database
Total Tables,Totale tabelle
Total Module Tables,Totale tabelle di moduli
Total Module Records,Totale dati di moduli
MySQL Info,Info MySQL
Database Name,Nome database
Tables Prefix,Prefisso tabelle
Connection Timeout,Timeout di connessione
Wait Timeout,Timeout di attesa
Choose Account,Scegli l'account
Please confirm account switching. All data that hasn't been saved will be lost.,Conferma il cambio di account. Tutti i dati non salvati saranno persi.
"<strong>We plan to add this functionality in the future versions.</strong><br/>
    If you have any suggestions, please let us know  <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>","<strong>Aggiungeremo questa funzione nelle versioni future.</strong><br/>
    Comunicaci eventuali suggerimenti alla pagina <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>"
The config data has been successfully added.,I dati di configurazione sono stati aggiunti correttamente.
The config data has been successfully updated.,I dati di configurazione sono stati aggiornati correttamente.
The config data has been successfully deleted.,I dati di configurazione sono stati eliminati correttamente.
Edit Config Data,Modifica dati di configurazione
Add Config Data,Aggiungi dati di configurazione
Set empty if you want add global data.,Lascia vuoto se desideri aggiungere dati globali.
Hide Block,Nascondi blocco
Show Tips,Mostra suggerimenti
Hide Tips,Nascondi suggerimenti
This is a required field.,Questo campo è obbligatorio.
"The <span style=""text-decoration: underline;"">eBay component</span>, its upgrades and support are free according to eBay / Magento Partner Agreement. And they will stay free until the partner agreement is active.<br/>","Il <span style=""text-decoration: underline;"">componente eBay</span>, i relativi aggiornamenti e l'assistenza sono gratuiti in conformità all'Accordo tra partner eBay e Magento e rimarranno tali finch‚ questo accordo è valido.<br/>"
"The current <span style=""text-decoration: underline;"">Amazon component</span> is in <span style=""text-decoration: underline;"">Beta</span> state and is provided free of charge. However, please be advised that upon the live version of the product release some monthly subscription fee will be introduced.</br>","Il <span style=""text-decoration: underline;"">componente Amazon</span> corrente viene fornito gratuitamente e il relativo stato è <span style=""text-decoration: underline;"">Beta</span>. Tuttavia, ti ricordiamo che dopo il rilascio della versione dinamica del prodotto verrà introdotta una tariffa d'iscrizione mensile.</br>"
and,e il
Amazon,Amazon
components,componenti
component,componente
"<br/><b>Note:</b> M2E Pro v.5.x.x consists of %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    M2E Pro extension requires activation for its work.<br/><br/>
    To get the License Key, click the <span style=""text-decoration: underline;"">Get License Key</span> link and follow the instructions.<br/>
    When you got your License Key, press the <span style=""text-decoration: underline;"">Enter</span> button
    and enter your License Key in appeared text field. Press the <span style=""text-decoration: underline;"">Confirm</span> button.<br/><br/>
    <b>Note:</b> If you have not received the License Key, please contact us right away at %s.","<br/><b>Nota:</b> M2E Pro v.5.x.x consiste di %s.<br/>
    %s
    %s
    <br>
    <hr style=""color:#D6D6D6""/><br/>
    L'estensione di M2E Pro richiede l'attivazione.<br/><br/>
    Per ottenere il codice di licenza, fai clic sul collegamento <span style=""text-decoration: underline;"">Ottieni codice di licenza</span> e segui le istruzioni.<br/>
    Una volta ottenuto il codice di licenza, premi il pulsante <span style=""text-decoration: underline;"">Invio</span>
    e immetti il codice di licenza nel campo di testo visualizzato. Premi il pulsante <span style=""text-decoration: underline;"">Conferma</span>.<br/><br/>
    <b>Nota:</b> se non hai ricevuto il codice di licenza, contattaci subito all'indirizzo %s."
You must get valid Trial or Live license key.,Devi ottenere un codice di licenza di prova o dinamico valido.
License Data,Dati della licenza
Get License Key,Ottieni codice di licenza
License Validation,Convalida licenza
Directory,Directory
"<b>Note:</b> The eBay component, its upgrades and support are free according to eBay / Magento Partner Agreement. And they will stay free
    until the partner agreement is active.","<b>Nota:</b> il componente eBay, i relativi aggiornamenti e l'assistenza sono gratuiti in conformità all'Accordo tra partner eBay/Magento e rimarranno tali
    finch‚ questo accordo è valido."
"<b>Note:</b> The current Beta version of the Amazon module is provided free of charge.
                                However, please be advised that upon the live version of the product release some monthly subscription fee will be introduced.","<b>Nota:</b> la versione Beta corrente del modulo Amazon viene fornita gratuitamente.
                                Tuttavia, ti ricordiamo che dopo il rilascio della versione dinamica del prodotto verrà introdotta una tariffa d'iscrizione mensile."
Current Status,Stato corrente
Expiration Date,Data di scadenza
Please select categories.,Seleziona le categorie.
"This page contains all created Listings. Use Templates filters to sort Listings by templates that they use in their settings.<br/>
    You can do different Actions either with a single Listing or a group of Listings.<br/>
    Actions for a single Listing you can find in the Action column of the grid. Choose a necessary option in the appropriate Listing dropdown to execute it.<br/>
    Mass actions are in the Actions dropdown at the top right corner of the grid. Select check-boxes of appropriate items,
    choose an Action from the dropdown and press the <span style=""text-decoration: underline;"">Submit</span> button.","In questa pagina sono contenute tutte le inserzioni create. Usa i filtri dei modelli per ordinare le inserzioni in base ai modelli utilizzati nelle relative impostazioni.<br/>
    Puoi effettuare azioni differenti con un'inserzione singola o con un gruppo.<br/>
    Azioni per un'inserzione singola disponibili nella colonna Azione della griglia. Scegli un'opzione necessaria nel menu a discesa Inserzione appropriato per eseguirla.<br/>
    Le azioni in massa sono disponibili nel menu a discesa Azioni nell'angolo superiore destro della griglia. Seleziona le caselle di testo degli oggetti appropriati,
    scegli un'azione nel menu a discesa e premi il pulsante <span style=""text-decoration: underline;"">Invia</span>."
