About,Info
Wrong nick of lock item.,Falscher Name für die Artikelsperre.
Wrong max deactivate lock item time.,Falsche Höchstzeit für die Deaktivierungssperre.
Wrong object class for getting action_id!,Falsche Objektklasse für den Erhalt von action_id.
Cancel is not allowed for Orders which were already Canceled.,Stornierte Bestellungen können nicht erneut storniert werden.
Cancel is not allowed for Orders with Invoiced Items.,Der Abbruch von Bestellungen mit in Rechnung gestellten Artikeln ist nicht zulässig.
Cancel is not allowed for Orders which were put on Hold.,Der Abbruch ausgesetzter Bestellungen ist nicht zulässig.
Cancel is not allowed for Orders which were Completed or Closed.,Der Abbruch abgeschlossener oder beendeter Bestellungen ist nicht zulässig.
M2E Pro Notes,Hinweise zu M2E Pro
Yes,Ja
No,Nein
The Product ID is not set.,Die Produkt-ID wurde nicht festgelegt.
Load instance first,Laden Sie zuerst die Instanz
Attribute does not exist.,Das Attribut existiert nicht.
There is no associated products found for grouped product.,Es gibt keine verwandten Produkte für das gruppierte Produkt.
Payment Status for eBay Order was updated to Paid.,Der Zahlungsstatus der eBay-Bestellung wurde auf „bezahlt“ aktualisiert.
Payment Status for eBay Order was not updated. View %sl%order log%el% for more details.,Der Zahlungsstatus der eBay-Bestellung wurde nicht aktualisiert. Nähere Informationen finden Sie im %sl%Bestellungsprotokoll%el%.
From [%from%] to [%to%],Von [%from%] bis [%to%]
IN Stock,Auf Lager
OUT of Stock,Nicht mehr vorrätig
Enabled,Aktiviert
Disabled,Deaktiviert
From [%from%] to [%to%].,Von [%from%] bis [%to%].
None,Keine
"Attribute ""%attr%"" from [%from%] to [%to%].",Attribut „%attr%“ von [%from%] bis [%to%].
Shipping Status for eBay Order was updated.,Der Versandstatus der eBay-Bestellung wurde aktualisiert.
Updating Amazon Order Status to Shipped in Progress...,Der Status der Amazon-Bestellung wird zu „verschickt“ aktualisiert ...
Shipping Status for %channel% Order was not updated. View %sl%order log%el% for more details.,Der Versandstatus der %Channel%-Bestellung wurde nicht aktualisiert. Nähere Informationen finden Sie im %sl%Bestellungsprotokoll%el%.
Product does not exist. Probably it was deleted.,Produkt existiert nicht. Das Produkt wurde wahrscheinlich gelöscht.
Product is disabled.,Das Produkt ist deaktiviert.
Order Import does not support product type: %type%.,Der Produkttyp %type% wird beim Importieren der Bestellung nicht unterstützt.
Invalid order log type.,Ungültiger Bestellprotokolltyp.
Store is not set.,Der Shop ist nicht eingerichtet.
Magento Order was not created. Reason: %msg%,Die Magento-Bestellung wurde nicht erstellt. Grund: %msg%
Magento Order #%order_id% was created.,Die Magento-Bestellung mit der Nummer %order_id% wurde erstellt.
Payment Transaction was not created. Reason: %msg%,Die Zahlungstransaktion wurde nicht erstellt. Grund: %msg%
Invoice was not created. Reason: %msg%,Die Rechnung wurde nicht erstellt. Grund: %msg%
Invoice #%invoice_id% was created.,Die Rechnung Nr. %invoice_id% wurde erstellt.
Shipment was not created. Reason: %msg%,Der Versand wurde nicht erstellt. Grund: %msg%
Shipment #%shipment_id% was created.,Der Versand Nr. %shipment_id% wurde erstellt.
Tracking details were not imported. Reason: %msg%,Die Einzelheiten zur Sendungsverfolgung wurden nicht importiert. Grund: %msg%
Tracking details were imported.,Die Einzelheiten zur Sendungsverfolgung wurden importiert.
Magento Order #%order_id% was canceled.,Die Magento-Bestellnr. %order_id% wurde storniert.
Magento Order #%order_id% was not canceled. Reason: %msg%,Die Magento-Bestellnr. %order_id% wurde nicht storniert. Grund: %msg%
Store does not exist.,Der Shop existiert nicht.
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.",Die Zahlungsmethode „M2E Pro-Zahlung“ ist in der Magento-Konfiguration deaktiviert.
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.",Die Versandmethode „M2E Pro-Versand“ ist in der Magento-Konfiguration deaktiviert.
Request failed.,Anforderung fehlgeschlagen.
Another Synchronization Is Already Running,Es wird bereits eine andere Synchronisierung ausgeführt
"The ""Deleted Products"" action is started. Please wait...",Die Aktion „Gelöschte Produkte“ wurde gestartet. Bitte warten Sie...
"The ""Deleted Products"" action is finished. Please wait...",Die Aktion „Gelöschte Produkte“ wurde abgeschlossen. Bitte warten Sie...
"The ""Inspector"" action is started. Please wait...",Die Aktion „Inspektor“ wurde gestartet. Bitte warten Sie...
"The ""Inspector"" action is finished. Please wait...",Die Aktion „Inspektor“ wurde abgeschlossen. Bitte warten Sie...
"The ""Processing"" action is started. Please wait...",Die Aktion „In Bearbeitung“ wurde gestartet. Bitte warten Sie...
"The ""Processing"" action is finished. Please wait...",Die Aktion „In Bearbeitung“ wurde abgeschlossen. Bitte warten Sie...
Help,Hilfe
Configuration,Konfiguration
Please select account(s) to remove,"Bitte wählen Sie das Konto bzw. die Konten, das/die Sie entfernen möchten"
%s record(s) were successfully deleted.,%s Datensatz/-sätze wurde(n) gelöscht.
%s record(s) are used in M2E Listing(s) or General Template(s).,%s Datensatz/-sätze wird/werden in M2E-Angebot oder allgemeinern Vorlagen verwendet.
%s record(s) are used in General Template(s).,%s Datensatz/-sätze wird/werden in allgemeinen Vorlagen verwendet.
Account must not be in use to be deleted.,"Das Konto darf nicht verwendet werden, wenn es gelöscht werden soll."
%s record(s) are used in M2E Listing(s).,%s Datensatz/-sätze wird/werden in M2E-Angebot(en) verwendet.
Sales,Verkäufe
Development,Entwicklung
Config,Konfiguration
The license key has been successfully updated.,Der Lizenzschlüssel wurde aktualisiert.
The license status has been successfully refreshed.,Der Lizenzstatus wurde aktualisiert.
Manage Listings,Angebote verwalten
You must create at least one selling format template first.,Sie müssen zunächst mindestens eine Angebotsformatvorlage erstellen.
You must create at least one description template first.,Sie müssen zunächst mindestens eine Beschreibungsvorlage erstellen.
You must create at least one general template first.,Sie müssen zunächst mindestens eine allgemeine Vorlage erstellen.
You must create at least one synchronization template first.,Sie müssen zunächst mindestens eine Synchronisierungsvorlage erstellen.
Listing does not exist.,Das Angebot existiert nicht.
Please select item(s) to clear,"Bitte wählen Sie den bzw. die Artikel, den/die Sie löschen möchten"
The listing(s) log was successfully cleaned.,Das Angebotsprotokoll wurde gelöscht.
The 3rd party listings are locked by another process. ,Die Angebote von Drittanbietern sind durch einen anderen Vorgang blockiert. 
Please try again later.,Bitte versuchen Sie es später noch einmal.
The 3rd party listing(s) log has been successfully cleaned.,Angebotprotokolle von Drittherstellern wurde gelöscht.
The clearing settings has been successfully saved.,Die Einstellungen für den Löschvorgang wurden gespeichert.
Log for %s has been successfully cleared.,Das Protokoll für %s wurde gelöscht.
All log for %s has been successfully cleared.,Alle Protokolle für %s wurden gelöscht.
All logs has been successfully cleared.,Alle Protokolle wurden gelöscht.
Activity Logs,Aktivitätsprotokolle
3rd Party Listing does not exist.,Das Drittanbieter-Angebot existiert nicht.
-- Please select --,-- Bitte auswählen --
Order ID is not defined.,Die Bestellnummer ist nicht definiert.
Order with such ID does not exist.,Es existiert keine Bestellung mit dieser Nummer.
Order was successfully deleted.,Die Bestellung wurde gelöscht.
At least one channel should be enabled.,Es muss mindestens ein Channel aktiviert sein.
The global settings have been successfully saved.,Die globalen Einstellungen wurden gespeichert.
All help blocks were restored.,Alle Hilfe-Abschnitte wurden wiederhergestellt.
You should fill in all required fields.,Bitte füllen Sie alle erforderlichen Felder aus.
Your message has been successfully sent.,Ihre Nachricht wurde gesendet.
Component can'be empty,Das Feld für die Komponente darf nicht leer sein
The synchronization task log has been successfully cleaned.,Das Protokoll für die Synchronisierungsaufgabe wurde gelöscht.
Data has been sent on Amazon. It is being processed now. You can continue working with M2E Pro.,Die Daten wurden an Amazon gesendet. Die Daten werden derzeit bearbeitet. Sie können weiter mit M2E Pro arbeiten.
eBay 3rd Party Listings are being downloaded now. ,Die eBay-Angebote von Drittanbietern werden jetzt heruntergeladen. 
They will be available soon in eBay / Amazon > Manage Listing > 3rd Party Listings. ,Sie werden in Kürze unter eBay / Amazon > Angebote verwalten > Angebote von Drittanbietern zur Verfügung stehen. 
You can continue working with M2E Pro.,Sie können weiter mit M2E Pro arbeiten.
Please select item(s) to remove,"Bitte wählen Sie den/die Artikel, den/die Sie entfernen möchten"
%s record(s) are used in Listing(s).,%s Datensatz/-sätze wird/werden in Angebot(en) verwendet.
Template must not be in use to be deleted.,"Die Vorlage darf nicht verwendet werden, wenn sie gelöscht werden soll."
%s record(s) were successfully deleted,%s Datensatz/-sätze wurde(n) gelöscht
Properties,Eigenschaften
Recommended Value,Empfohlener Wert
Current Value,Aktueller Wert
Magento Version,Magento-Version
PHP Version,PHP-Version
Memory Limit,Maximaler Speicher
Mb,MB
Max Execution Time,Maximale Ausführungszeit
sec,Sek
JSON support,JSON-Support
CURL support,CURL-Support
GMP support,GMP-Support
Table,Tabelle
Records,Datensätze
Magento Info,Informationen zu Magento
Edition,Ausgabe
Version,Version
Add Secret Key to URLs,Geheimen Schlüssel für URLs hinzufügen
Module Info,Informationen zum Modul
Name,Name
Version (revision),Version (bearbeitete Version)
Application Key,Anwendungsschlüssel
License Info,Lizenzinformationen
License Key,Lizenzschlüssel
Valid Domain,Gültige Domäne
Valid IP,Gültige IP
Valid Directory,Gültiges Verzeichnis
Access,Zugriff
None License,Keine Lizenz
Trial License,Testlizenz
Live License,Aktive Lizenz
Suspended,Gesperrt
Closed,Geschlossen
Expired Date,Gültig bis
Location Info,Standortinformationen
Host,Host
Domain,Domäne
IP,IP
System Info,Systeminformationen
PHP Info,PHP-Informationen
Server API,Server-API
Unlimited,Unbegrenzt
Cron Info,Cron-Informationen
We recommend to set up your cron job to be run every 5 minutes.,"Wir empfehlen Ihnen, den Cronjob so zu konfigurieren, dass er alle 5 Minuten ausgeführt wird."
Last Run,Letzte Ausführung
not working,funktioniert nicht
PHP command,PHP-Befehl
GET command,GET-Befehl
System Requirements,Systemanforderungen
Database Tables,Datenbanktabellen
Database Summary,Datenbank-Zusammenfassung
Total Tables,Gesamtzahl der Tabellen
Total Module Tables,Gesamtzahl der Modultabellen
Total Module Records,Gesamtzahl der Moduldatensätze
MySQL Info,MySQL-Informationen
Database Name,Datenbankname
Tables Prefix,Präfix der Tabellen
Connection Timeout,Verbindungs-Timeout
Wait Timeout,Wartezeit-Timeout
Choose Account,Mitgliedskonto auswählen
Please confirm account switching. All data that hasn't been saved will be lost.,Bestätigen Sie den Wechsel des Mitgliedskontos. Alle ungespeicherten Daten gehen verloren.
"<strong>We plan to add this functionality in the future versions.</strong><br/>
    If you have any suggestions, please let us know  <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>","<strong>Diese Funktion soll in zukünftigen Versionen hinzugefügt werden.</strong><br/>
    Haben Sie Verbesserungsvorschläge? Kontaktieren Sie uns über  <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>"
The config data has been successfully added.,Die Konfigurationsdaten wurden hinzugefügt.
The config data has been successfully updated.,Die Konfigurationsdaten wurden aktualisiert.
The config data has been successfully deleted.,Die Konfigurationsdaten wurden gelöscht.
Edit Config Data,Konfigurationsdaten bearbeiten
Add Config Data,Konfigurationsdaten hinzufügen
Set empty if you want add global data.,"Wählen Sie „leer“, wenn Sie globale Daten hinzufügen möchten."
Hide Block,Abschnitt ausblenden
Show Tips,Tipps anzeigen
Hide Tips,Tipps ausblenden
This is a required field.,Dies ist ein Pflichtfeld.
"The <span style=""text-decoration: underline;"">eBay component</span>, its upgrades and support are free according to eBay / Magento Partner Agreement. And they will stay free until the partner agreement is active.<br/>","Je nach eBay/Magento-Partnervereinbarung sind die <span style=""text-decoration: underline;"">eBay-Komponente</span>, ihre Upgrades und der zugehörige Support kostenlos verfügbar. Es werden keine Kosten erhoben, bis die Partnervereinbarung aktiv ist.<br/>"
"The current <span style=""text-decoration: underline;"">Amazon component</span> is in <span style=""text-decoration: underline;"">Beta</span> state and is provided free of charge. However, please be advised that upon the live version of the product release some monthly subscription fee will be introduced.</br>","Die aktuelle <span style=""text-decoration: underline;"">Amazon-Komponente</span> befindet sich in der <span style=""text-decoration: underline;"">Beta</span>version und wird kostenlos zur Verfügung gestellt. Wir weisen Sie jedoch darauf hin, dass nach Veröffentlichung und Einführung der Live-Version eine monatliche Abonnementgebühr fällig wird.</br>"
and,und
Amazon,Amazon
components,Komponenten
component,Komponente
"<br/><b>Note:</b> M2E Pro v.5.x.x consists of %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    M2E Pro extension requires activation for its work.<br/><br/>
    To get the License Key, click the <span style=""text-decoration: underline;"">Get License Key</span> link and follow the instructions.<br/>
    When you got your License Key, press the <span style=""text-decoration: underline;"">Enter</span> button
    and enter your License Key in appeared text field. Press the <span style=""text-decoration: underline;"">Confirm</span> button.<br/><br/>
    <b>Note:</b> If you have not received the License Key, please contact us right away at %s.","<br/><b>Hinweis:</b> M2E Pro v.5.x.x besteht aus %s.<br/>
    %s
    %s
    <br>
    <hr style=""color:#D6D6D6""/><br/>
    Die M2E Pro-Erweiterung muss zunächst aktiviert werden, damit Sie sie verwenden können.<br/><br/>
    Klicken Sie auf den Link <span style=""text-decoration: underline;"">Lizenzschlüssel abfragen</span> und folgen Sie den Anweisungen.<br/>
    Drücken Sie die <span style=""text-decoration: underline;"">Eingabe</span>taste, sobald Sie den Lizenzschlüssel erhalten haben button
    und geben Sie ihn in das Textfeld ein, das jetzt eingeblendet wird. Klicken Sie auf <span style=""text-decoration: underline;"">Bestätigen</span>.<br/><br/>
    <b>Hinweis:</b> Wenn Sie den Lizenzschlüssel nicht erhalten haben, setzen Sie sich bitte umgehend per E-Mail an %s mit uns in Verbindung."
