About,Acerca de
"The ""Inspector"" action is started. Please wait...","Se ha iniciado la acción ""Inspector"". Por favor, espera..."
"The ""Inspector"" action is finished. Please wait...","La acción ""Inspector"" ha finalizado. Por favor, espera..."
"The ""Processing"" action is started. Please wait...","Se ha iniciado la acción ""Procesamiento"". Por favor, espera..."
"The ""Processing"" action is finished. Please wait...","La acción ""Procesamiento"" ha finalizado. Por favor, espera..."
Help,Ayuda
Configuration,Configuración
Please select account(s) to remove,Selecciona las cuentas que quieres eliminar
%s record(s) were successfully deleted.,%s registros se han eliminado correctamente
%s record(s) are used in M2E Listing(s) or General Template(s).,%s registros se usan en anuncios de M2E o en plantillas generales.
%s record(s) are used in General Template(s).,%s registros se usan en plantillas generales.
Account must not be in use to be deleted.,"Para poder eliminar una cuenta, esta no puede estar en uso."
%s record(s) are used in M2E Listing(s).,%s registros se usan en anuncios de M2E.
Sales,Ventas
Development,Desarrollo
Config,Configuración
The license key has been successfully updated.,La clave de licencia se ha actualizado correctamente.
The license status has been successfully refreshed.,El estado de la licencia se ha actualizado correctamente.
Manage Listings,Gestionar anuncios
You must create at least one selling format template first.,Antes debes crear al menos una plantilla de formato de venta.
You must create at least one description template first.,Antes debes crear al menos una plantilla de descripción.
You must create at least one general template first.,Antes debes crear al menos una plantilla general.
You must create at least one synchronization template first.,Antes debes crear al menos una plantilla de sincronización.
Listing does not exist.,El anuncio no existe.
Please select item(s) to clear,Selecciona los artículos que quieres borrar
The listing(s) log was successfully cleaned.,El registro de anuncios se limpió correctamente.
The 3rd party listings are locked by another process. ,Los anuncios externos están bloqueados por otro proceso. 
Please try again later.,Inténtalo de nuevo más tarde.
The 3rd party listing(s) log has been successfully cleaned.,El registro de anuncios externos se ha limpiado correctamente.
The clearing settings has been successfully saved.,La configuración de borrado se ha guardado correctamente.
Log for %s has been successfully cleared.,El registro de %s se ha borrado correctamente.
All log for %s has been successfully cleared.,Todo el registro de %s se ha borrado correctamente.
All logs has been successfully cleared.,Todos los registros se han borrado correctamente.
Activity Logs,Registros de actividad
3rd Party Listing does not exist.,El anuncio externo no existe.
-- Please select --,-- Selecciona --
Order ID is not defined.,El identificador de pedido no se ha definido.
Order with such ID does not exist.,No existe ningún pedido con dicho identificador.
Order was successfully deleted.,El pedido se eliminó correctamente.
At least one channel should be enabled.,Se debe activar al menos un canal.
The global settings have been successfully saved.,La configuración global se ha guardado correctamente.
All help blocks were restored.,Se restauraron todos los bloqueos de la ayuda.
You should fill in all required fields.,Debes rellenar todos los campos obligatorios.
Your message has been successfully sent.,Tu mensaje se ha enviado correctamente.
Component can'be empty,El componente no puede estar vacío
The synchronization task log has been successfully cleaned.,El registro de tareas de sincronización se ha limpiado correctamente.
Data has been sent on Amazon. It is being processed now. You can continue working with M2E Pro.,Los datos se han remitido en Amazon. Se está procesando ahora. Puedes seguir trabajando con M2E Pro.
eBay 3rd Party Listings are being downloaded now. ,Los anuncios externos de eBay se están descargando ahora. 
They will be available soon in eBay / Amazon > Manage Listing > 3rd Party Listings. ,Estarán disponibles en breve en eBay/Amazon > Gestionar anuncios > Anuncios externos. 
You can continue working with M2E Pro.,Puedes seguir trabajando con M2E Pro.
Please select item(s) to remove,Selecciona los artículos que quieres eliminar
%s record(s) are used in Listing(s).,%s registros se usan en los anuncios.
Template must not be in use to be deleted.,"Para poder eliminar una plantilla, esta no debe estar usándose."
%s record(s) were successfully deleted,%s registros se han eliminado correctamente
Properties,Propiedades
Recommended Value,Valor recomendado
Current Value,Valor actual
Magento Version,Versión para Magento
PHP Version,Versión para PHP
Memory Limit,Límite de memoria
Mb,MB
Max Execution Time,Tiempo de ejecución máximo
sec,s
JSON support,Soporte para JSON
CURL support,Soporte para CURL
GMP support,Soporte para GMP
Table,Tabla
Records,Registros
Magento Info,Información sobre Magento
Edition,Edición
Version,Versión
Add Secret Key to URLs,Añadir clave secreta a las URL
Module Info,Información del módulo
Name,Nombre
Version (revision),Versión (revisión)
Application Key,Clave de aplicación
License Info,Información de licencia
License Key,Clave de licencia
Valid Domain,Dominio válido
Valid IP,IP válida
Valid Directory,Directorio válido
Access,Acceso
None License,Ninguna licencia
Trial License,Licencia de prueba
Live License,Licencia activa
Suspended,Suspendida
Closed,Cerrada
Expired Date,Fecha de caducidad
Location Info,Información de ubicación
Host,Host
Domain,Dominio
IP,IP
System Info,Información del sistema
PHP Info,Información de PHP
Server API,API del servidor
Unlimited,Sin límite
Cron Info,Información de Cron
We recommend to set up your cron job to be run every 5 minutes.,Te recomendamos configurar el trabajo de cron para que se ejecute cada 5 minutos.
Last Run,Última ejecución
not working,no funciona
PHP command,Comando PHP
GET command,Comando GET
System Requirements,Requisitos del sistema
Database Tables,Tablas de base de datos
Database Summary,Resumen de base de datos
Total Tables,N.º total de tablas
Total Module Tables,N.º total de tablas de módulo
Total Module Records,N.º total de registros de módulo
MySQL Info,Información de MySQL
Database Name,Nombre de base de datos
Tables Prefix,Prefijo de las tablas
Connection Timeout,Periodo de conexión superado
Wait Timeout,Periodo de espera superado
Choose Account,Selecciona la cuenta
Please confirm account switching. All data that hasn't been saved will be lost.,Confirma el cambio de cuenta. Los datos que no se hayan guardado se perderán.
"<strong>We plan to add this functionality in the future versions.</strong><br/>
    If you have any suggestions, please let us know  <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>","<strong>Tenemos previsto añadir esta función en versiones futuras.</strong><br/>
    Si tienes alguna sugerencia, envíanosla a través de <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>"
The config data has been successfully added.,Los datos de configuración se han añadido correctamente.
The config data has been successfully updated.,Los datos de configuración se han actualizado correctamente.
The config data has been successfully deleted.,Los datos de configuración se han eliminado correctamente.
Edit Config Data,Modificar datos de configuración
Add Config Data,Añadir datos de configuración
Set empty if you want add global data.,Deja vacía esta opción si quieres añadir datos globales.
Hide Block,Ocultar bloque
Show Tips,Mostrar consejos
Hide Tips,Ocultar consejos
This is a required field.,Este campo es obligatorio.
"The <span style=""text-decoration: underline;"">eBay component</span>, its upgrades and support are free according to eBay / Magento Partner Agreement. And they will stay free until the partner agreement is active.<br/>","El <span style=""text-decoration: underline;"">componente de eBay</span>, sus actualizaciones y el soporte técnico del mismo son gratuitos según el Acuerdo para socios de eBay/Magento. Y seguirán siendo gratuitos mientras que el acuerdo para socios esté activo.<br/>"
"The current <span style=""text-decoration: underline;"">Amazon component</span> is in <span style=""text-decoration: underline;"">Beta</span> state and is provided free of charge. However, please be advised that upon the live version of the product release some monthly subscription fee will be introduced.</br>","El <span style=""text-decoration: underline;"">componente de Amazon</span> actual está en estado<span style=""text-decoration: underline;"">Beta</span> y se proporciona totalmente gratis. Sin embargo, recuerda que cuando se lance la versión comercial del producto se aplicará una tarifa mensual de suscripción.</br>"
and,y
Amazon,Amazon
components,componentes
component,componente
"<br/><b>Note:</b> M2E Pro v.5.x.x consists of %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    M2E Pro extension requires activation for its work.<br/><br/>
    To get the License Key, click the <span style=""text-decoration: underline;"">Get License Key</span> link and follow the instructions.<br/>
    When you got your License Key, press the <span style=""text-decoration: underline;"">Enter</span> button
    and enter your License Key in appeared text field. Press the <span style=""text-decoration: underline;"">Confirm</span> button.<br/><br/>
    <b>Note:</b> If you have not received the License Key, please contact us right away at %s.","<br/><b>Nota</b>: M2E Pro v.5.x.x se compone de %s.<br/>
    %s
    %s
    <br>
    <hr style=""color:#D6D6D6""/><br/>
    La extensión M2E Pro requiere activación para su funcionamiento.<br/><br/>
    Para obtener la clave de licencia, pulsa el vínculo <span style=""text-decoration: underline;"">Obtener clave de licencia</span> y sigue la instrucciones.<br/>
    Cuando obtengas la clave de licencia, pulsa el botón <span style=""text-decoration: underline;"">Introducir</span>
    e introduce tu clave de licencia en el campo de texto que aparece. Pulsa el botón <span style=""text-decoration: underline;"">Confirmar</span>.<br/><br/>
    <b>Nota</b>: si no has recibido la clave de licencia, ponte en contacto con nosotros inmediatamente al %s."
